seqferiado;dataferiado;diasemana;descricaoferiado
20230101;01/01/23;domingo;Confraternização Universal
20230220;20/02/23;segunda-feira;Carnaval
20230221;21/02/23;terça-feira;Carnaval
20230407;07/04/23;sexta-feira;Paixão de Cristo
20230421;21/04/23;sexta-feira;Tiradentes
20230501;01/05/23;segunda-feira;Dia do Trabalho
20230608;08/06/23;quinta-feira;Corpus Christi
20230907;07/09/23;quinta-feira;Independência do Brasil
20231012;12/10/23;quinta-feira;Nossa Sr.a Aparecida Padroeira do Brasil
20231102;02/11/23;quinta-feira;Finados
20231115;15/11/23;quarta-feira;Proclamação da República
20231120;20/11/23;segunda-feira;Dia Nacional de Zumbi e da Consciência Negra
20231225;25/12/23;segunda-feira;Natal
20240101;01/01/24;segunda-feira;Confraternização Universal
20240212;12/02/24;segunda-feira;Carnaval
20240213;13/02/24;terça-feira;Carnaval
20240329;29/03/24;sexta-feira;Paixão de Cristo
20240421;21/04/24;domingo;Tiradentes
20240501;01/05/24;quarta-feira;Dia do Trabalho
20240530;30/05/24;quinta-feira;Corpus Christi
20240907;07/09/24;sábado;Independência do Brasil
20241012;12/10/24;sábado;Nossa Sr.a Aparecida Padroeira do Brasil
20241102;02/11/24;sábado;Finados
20241115;15/11/24;sexta-feira;Proclamação da República
20241120;20/11/24;quarta-feira;Dia Nacional de Zumbi e da Consciência Negra
20241225;25/12/24;quarta-feira;Natal
20250101;01/01/25;quarta-feira;Confraternização Universal
20250303;03/03/25;segunda-feira;Carnaval
20250304;04/03/25;terça-feira;Carnaval
20250418;18/04/25;sexta-feira;Paixão de Cristo
20250421;21/04/25;segunda-feira;Tiradentes
20250501;01/05/25;quinta-feira;Dia do Trabalho
20250619;19/06/25;quinta-feira;Corpus Christi
20250907;07/09/25;domingo;Independência do Brasil
20251012;12/10/25;domingo;Nossa Sr.a Aparecida Padroeira do Brasil
20251102;02/11/25;domingo;Finados
20251115;15/11/25;sábado;Proclamação da República
20251120;20/11/25;quinta-feira;Dia Nacional de Zumbi e da Consciência Negra
20251225;25/12/25;quinta-feira;Natal
