sk_tempo,nm_grupo,dt_evento,nr_ano,nr_mes,nm_mes,nr_dia,nr_dia_semana,nm_dia_semana_extenso,nr_semestre,ds_semestre,ds_semestre_ano,nr_trimestre,ds_trimestre,nm_estacao_ano,ds_dia_util_feriado,ds_fim_semana,ds_data_extenso,dt_carga
20230101,INSIGHTHUNTERS,2023-01-01 00:00:00,2023,1,Janeiro,1,1,Domingo,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FERIADO,SIM,"Domingo , 1 de Janeiro de 2023",2025-05-24 23:26:21
20230102,INSIGHTHUNTERS,2023-01-02 00:00:00,2023,1,Janeiro,2,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Segunda-Feira , 2 de Janeiro de 2023",2025-05-24 23:26:21
20230103,INSIGHTHUNTERS,2023-01-03 00:00:00,2023,1,Janeiro,3,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Terça-Feira , 3 de Janeiro de 2023",2025-05-24 23:26:21
20230104,INSIGHTHUNTERS,2023-01-04 00:00:00,2023,1,Janeiro,4,4,Quarta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Quarta-Feira , 4 de Janeiro de 2023",2025-05-24 23:26:21
20230105,INSIGHTHUNTERS,2023-01-05 00:00:00,2023,1,Janeiro,5,5,Quinta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Quinta-Feira , 5 de Janeiro de 2023",2025-05-24 23:26:21
20230106,INSIGHTHUNTERS,2023-01-06 00:00:00,2023,1,Janeiro,6,6,Sexta-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Sexta-Feira , 6 de Janeiro de 2023",2025-05-24 23:26:21
20230107,INSIGHTHUNTERS,2023-01-07 00:00:00,2023,1,Janeiro,7,7,Sábado,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Sábado , 7 de Janeiro de 2023",2025-05-24 23:26:21
20230108,INSIGHTHUNTERS,2023-01-08 00:00:00,2023,1,Janeiro,8,1,Domingo,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,FIM DE SEMANA,SIM,"Domingo , 8 de Janeiro de 2023",2025-05-24 23:26:21
20230109,INSIGHTHUNTERS,2023-01-09 00:00:00,2023,1,Janeiro,9,2,Segunda-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Segunda-Feira , 9 de Janeiro de 2023",2025-05-24 23:26:21
20230110,INSIGHTHUNTERS,2023-01-10 00:00:00,2023,1,Janeiro,10,3,Terça-Feira,1,1º Semestre,1º Semestre/2023,1,1º Trimestre,Verão,DIA ÚTIL,NÃO,"Terça-Feira , 10 de Janeiro de 2023",2025-05-24 23:26:21
